lift to drag ratio,gamma,apoapsis,delta_v,exit_velocity,g_load_max,heat_flux_max,convective_heat_max,radiative_heat_max
1.1,-10.6,500000.08529578854,130.97538023128027,3527.5324193426422,9.149085751889874,401.85835649634475,149.59089999127008,253.32171703697722
1.2000000000000002,-10.6,499999.8666356023,131.2672136852011,3527.709535091603,9.61967631975818,402.40311724173625,149.59562240669285,253.78538897372806
1.3,-10.6,500000.21811757283,130.16649972427422,3528.762898118179,10.143065381929384,404.3085840152746,150.02033018230844,255.34834638546937
1.4000000000000001,-10.6,499999.91011586547,130.41257737436354,3528.3865966679778,10.985379359541458,413.4673092160481,151.5036671544861,262.93024241888145
1.5,-10.6,499999.8966256506,128.87588202886718,3529.667146214533,11.019037575285045,398.32074642408315,148.87383325814443,250.45707616909414
1.6,-10.6,500000.26990394393,127.4357090288513,3531.330723101329,11.869723356935552,409.82394718409114,151.16715314691413,259.9120712657076
1.7000000000000002,-10.6,500000.33406676265,128.38629815356262,3530.4368694547234,12.096805905738831,399.8164475700812,149.2210674162798,251.6436285311145
1.8,-10.6,500000.028183952,129.00442239136373,3529.3114647073885,13.262528004068848,420.7389588552434,152.64693767862207,268.81527605459695
1.9000000000000001,-10.6,499999.93819286034,126.90831999848933,3531.482571865596,13.793985213766854,418.69251573076326,152.36340357262296,267.2231354271484
2.0,-10.6,499999.6703233882,127.72140597093994,3530.883808938467,13.843422613775303,403.9170022060845,149.85278769711957,255.06233761385081
0.9,-10.7,469821.61474115256,127.49745676950533,3517.9981995452144,8.736545921432315,428.35585637551293,155.01025686769196,274.2870092885201
1.0,-10.7,500000.03977834433,132.0687183397131,3526.5291824400433,9.137213855342766,425.58306765196284,154.46895978311142,272.39540870609983
1.1,-10.7,500000.1536414162,131.13771960460008,3527.945150501006,9.636592695499056,425.98728502857296,154.53210068139973,272.77293873204763
1.2000000000000002,-10.7,499999.88630286144,131.43426849615207,3527.2958960851565,10.192750339523005,430.3362163179818,155.32983431680108,276.0405092363902
1.3,-10.7,500000.2086741096,130.15311234266255,3528.7668083249323,10.806614933721617,435.54329892648377,156.29961411322216,279.8494170421501
1.4000000000000001,-10.7,500000.0186676676,129.90017631288947,3528.5030412522897,11.240243868767365,429.5097455398386,155.12559900797868,275.75901297317984
1.5,-10.7,500000.2327471511,129.11086525097062,3529.7739341059305,11.844068343683613,435.6821432722654,156.41123178963852,279.7401681098316
1.6,-10.7,499999.97636694286,129.00412354813125,3529.9612457258095,12.335360853447943,432.09224824583623,155.68193243734342,277.1346638150462
1.7000000000000002,-10.7,500000.3388969177,128.3438276577076,3530.47915294683,13.041294922717057,433.1193348842092,155.46750490125865,278.7030143580724
1.8,-10.7,500000.0506237202,127.14241547634765,3531.0851404385658,13.612976025013579,439.18604254475315,157.04685197204984,282.65387695906634
1.9000000000000001,-10.7,499999.92409628764,126.93765040479911,3531.460050271433,14.334926469728442,439.4677611681035,156.97431279898584,283.03267172247007
2.0,-10.7,499999.8470357317,127.71045937188819,3530.800130074404,14.669216548546578,431.5066455286212,155.54150961995978,276.8863659222576
0.9,-10.8,473367.56262780033,127.97769128425034,3519.6921846861974,9.011833132792407,450.82652566556646,159.6019827993772,291.7424836512778
1.0,-10.8,499999.8952124945,132.54048075926312,3526.2922139768207,9.533638560401432,450.01768294690305,159.50308416363444,291.13428786024275
1.1,-10.8,499999.8808468557,131.0222464922722,3528.1629104716462,9.868928253625523,445.73562190519107,158.69086837492125,287.5253561530233
1.2000000000000002,-10.8,499999.8535635728,131.10090588070443,3528.0660746065755,10.562217666204159,450.87455916613715,159.72851279504522,291.8284799519706
1.3,-10.8,500000.00616994186,130.82323943402707,3527.812211763557,10.930987977843028,446.8659117383369,158.86800118335378,288.4670719400088
1.4000000000000001,-10.8,499999.84411777434,130.36969418557237,3528.523454450343,11.718880508316206,454.1725362671702,160.29607328111382,294.54928356340724
