velocity,gamma,success,apoapsis,delta_v,exit_velocity,max_g_load,max_total_heat_flux,max_rad_heat_flux,max_conv_heat_flux
14210.526315789473,-10.564102564102564,True,499999.86619607056,127.06958230929376,3531.7450206649073,6.651016348662538,243.24943715591206,135.48191337025378,107.7675237856583
14210.526315789473,-10.512820512820513,True,499999.9920941634,127.80144796413197,3530.4559012472537,6.342571812442883,231.86334781575783,127.00196623095759,104.9180693184126
14210.526315789473,-10.461538461538462,False,,,,,,,
14210.526315789473,-10.41025641025641,False,,,,,,,
14210.526315789473,-10.35897435897436,False,,,,,,,
14210.526315789473,-10.307692307692308,False,,,,,,,
14210.526315789473,-10.256410256410255,False,,,,,,,
14210.526315789473,-10.205128205128204,False,,,,,,,
14210.526315789473,-10.153846153846153,False,,,,,,,
14210.526315789473,-10.102564102564102,False,,,,,,,
14210.526315789473,-10.051282051282051,False,,,,,,,
14210.526315789473,-10.0,False,,,,,,,
14315.78947368421,-12.0,False,,,,,,,
14315.78947368421,-11.948717948717949,False,,,,,,,
14315.78947368421,-11.897435897435898,False,,,,,,,
14315.78947368421,-11.846153846153847,False,,,,,,,
14315.78947368421,-11.794871794871796,False,,,,,,,
14315.78947368421,-11.743589743589745,False,,,,,,,
14315.78947368421,-11.692307692307692,False,,,,,,,
14315.78947368421,-11.64102564102564,False,,,,,,,
14315.78947368421,-11.58974358974359,False,,,,,,,
14315.78947368421,-11.538461538461538,False,,,,,,,
14315.78947368421,-11.487179487179487,False,,,,,,,
14315.78947368421,-11.435897435897436,False,,,,,,,
14315.78947368421,-11.384615384615385,False,,,,,,,
14315.78947368421,-11.333333333333334,False,,,,,,,
14315.78947368421,-11.282051282051283,False,,,,,,,
14315.78947368421,-11.23076923076923,False,,,,,,,
14315.78947368421,-11.179487179487179,False,,,,,,,
14315.78947368421,-11.128205128205128,False,,,,,,,
14315.78947368421,-11.076923076923077,False,,,,,,,
14315.78947368421,-11.025641025641026,False,,,,,,,
14315.78947368421,-10.974358974358974,False,,,,,,,
14315.78947368421,-10.923076923076923,True,499999.87353674386,126.83952541261169,3531.513681421457,7.285778175761133,287.3568085853768,168.57905826672706,118.77775031864977
14315.78947368421,-10.871794871794872,True,500000.14951860835,128.03132718309053,3530.7165819361176,7.237241571559747,285.01194639881095,166.92431726075782,118.08762913805313
14315.78947368421,-10.820512820512821,True,499999.8920057948,127.6572434098025,3530.722492152804,7.244806494880056,280.6823311599003,163.54328936359394,117.18288105058429
14315.78947368421,-10.76923076923077,True,500000.0241478242,128.01763118467352,3530.7411506455032,7.196753364871516,277.69956125006115,161.32857882820977,116.37098242185141
14315.78947368421,-10.717948717948719,True,500000.09379959275,127.1907988252783,3531.49784790132,7.075864324692084,271.81163944629407,156.88546692281847,114.98709134449663
14315.78947368421,-10.666666666666666,True,499999.8531508109,127.325192976371,3531.2641327035994,7.000857307972092,265.89986121608945,152.47911940602856,113.59706038854364
14315.78947368421,-10.615384615384615,True,499999.9456714976,127.11092159202417,3531.658312759016,6.916669580893922,258.96894850255353,147.1483114699296,111.90957175725447
14315.78947368421,-10.564102564102564,True,499999.9904635416,126.96618031061325,3531.2451109118874,6.680449054091014,249.1309414701683,139.6780522269944,109.4528892431739
14315.78947368421,-10.512820512820513,True,499999.83626038046,128.11716437792393,3530.521523530767,6.359521318261999,238.3076228915372,131.614879096496,106.8853747290703
14315.78947368421,-10.461538461538462,False,,,,,,,
14315.78947368421,-10.41025641025641,False,,,,,,,
14315.78947368421,-10.35897435897436,False,,,,,,,
14315.78947368421,-10.307692307692308,False,,,,,,,
14315.78947368421,-10.256410256410255,False,,,,,,,
14315.78947368421,-10.205128205128204,False,,,,,,,
14315.78947368421,-10.153846153846153,False,,,,,,,
14315.78947368421,-10.102564102564102,False,,,,,,,
14315.78947368421,-10.051282051282051,False,,,,,,,
14315.78947368421,-10.0,False,,,,,,,
14421.052631578947,-12.0,False,,,,,,,
14421.052631578947,-11.948717948717949,False,,,,,,,
14421.052631578947,-11.897435897435898,False,,,,,,,
14421.052631578947,-11.846153846153847,False,,,,,,,
14421.052631578947,-11.794871794871796,False,,,,,,,
14421.052631578947,-11.743589743589745,False,,,,,,,
14421.052631578947,-11.692307692307692,False,,,,,,,
14421.052631578947,-11.64102564102564,False,,,,,,,
14421.052631578947,-11.58974358974359,False,,,,,,,
14421.052631578947,-11.538461538461538,False,,,,,,,
14421.052631578947,-11.487179487179487,False,,,,,,,
14421.052631578947,-11.435897435897436,False,,,,,,,
14421.052631578947,-11.384615384615385,False,,,,,,,
14421.052631578947,-11.333333333333334,False,,,,,,,
14421.052631578947,-11.282051282051283,False,,,,,,,
14421.052631578947,-11.23076923076923,False,,,,,,,
14421.052631578947,-11.179487179487179,False,,,,,,,
