gamma_initial,mass,velocity_initial,lift_multiplier,drag_multiplier,density_multiplier,success,failure,max_total_heat_flux,max_rad_heat_flux,max_conv_heat_flux,max_g_load,apoapsis_altitude,periapsis_altitude,delta_v,velocity_exit
-10.79428429220942,10006.418554928545,16131.763311455372,1.1246934474946584,1.049734461050234,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AB28910>,True,SUCCESS,509.45194646500124,340.3484407322829,170.42921170520802,12.05423195964028,500000.16305691114,59644.94000152054,140.27390199960792,3519.09137830195
-10.678217794608411,9947.61430954906,15874.687540229235,0.9778032654373318,0.831980252822528,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AB299B0>,True,SUCCESS,535.0618422135393,364.2652983012306,171.8501381065348,9.863724521557087,468367.285511903,59688.83926531511,130.69592294633094,3514.6489061852153
-11.089612331271669,10025.650630143931,16313.106300265887,1.0249900868350104,1.044990502345899,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AB29780>,True,SUCCESS,,,,10.085778032333716,500000.10335479095,59930.89377872968,126.57007757839165,3531.899954215644
-10.604620073713415,10043.798086102594,16047.465257471156,1.1290483783856882,0.9726823699750832,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AB29D30>,True,SUCCESS,494.3961948076456,329.85472164730635,165.84888515412356,11.398974106624454,490243.37830203417,59851.019373929725,145.4400929202743,3510.6059590250816
-10.846002858464317,9967.658026375937,16189.429729734014,1.0595778583618518,0.9649009425099189,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AB2A2E0>,True,SUCCESS,531.6915716054317,356.9649674459875,175.10118180997853,10.99729213274979,496149.34954547556,59655.87979421471,139.89758839684464,3518.4442082593046
-10.967272872707381,10048.308285175559,16063.011747005981,1.0082186338307983,1.097937184711016,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AB2AB30>,True,SUCCESS,,,,10.066935434177966,500000.46915779385,59754.15847833108,123.0883935511979,3534.910745196869
-10.885418247444715,10000.559411022126,15848.603046237798,1.121954923406674,0.9048941296328724,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AB2AD60>,True,SUCCESS,,,,9.064735676578804,500000.0970911651,59597.609557861695,117.21284961282026,3540.3632444475215
-10.72513950479381,9924.110935344017,15997.160116579947,1.1578793918868215,1.0516066041511596,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AB2B850>,True,SUCCESS,373.28407154751,229.2798722852506,144.7977552805142,8.904853579204119,500000.06427220977,59638.93442703168,119.45277495652408,3538.25142979333
-11.059132615539333,10041.216328584022,15895.001052356616,1.1925108142292116,1.0733230868771324,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AB2B9A0>,True,SUCCESS,415.70405967046344,262.52180705977514,153.43424962954225,10.19775007977621,500000.9690678417,59959.845479672615,134.06996656470164,3525.3172007887106
-10.87387763034811,10016.093652114772,15883.507435230194,0.9679888464445139,0.9208974524511326,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AB2BF50>,True,SUCCESS,517.2169520681371,347.44413823122136,169.8806291074533,10.098965142642196,464553.9302547536,59619.684018820735,130.95833048810982,3512.85679191463
-10.69430214831951,10019.771940895373,16027.774676521105,0.9904648665727507,0.9416549449788384,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AC701A0>,True,SUCCESS,484.4520204648227,320.170751836356,164.94114310049068,9.816571584322833,475833.8672374421,59628.32371882558,133.98191257280314,3514.6170072618424
-10.563666181461583,9924.219128065779,16339.253366190727,1.0495796016034946,1.0521133700756222,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AC704B0>,True,SUCCESS,,,,8.298949306182266,500000.02045682585,59749.42941927496,129.3814371495214,3529.0322996065524
-10.568775050611018,9953.228100457209,15983.12488161796,1.0086201283370557,0.9236709296881039,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AC70520>,True,SUCCESS,,,,7.703455051150907,500000.0986930679,60020.80993338136,125.9993434472517,3532.225152977092
-11.276898730517946,10016.753337724032,16064.059098659269,1.0535088474049652,1.0284864807886593,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AC708A0>,True,SUCCESS,,,,12.709248859853878,477552.9255397177,59988.40850754393,138.24110404195972,3511.964308849376
-10.572151176039734,10022.200564908153,16330.187264694221,1.1759764833349675,0.9697374946984125,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2AC71320>,True,SUCCESS,,,,9.639640810349784,500000.0002648566,60024.41938772224,133.1575664819875,3525.68048426971
